epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
72,487.072,0.79867,0.62946,0.95917,0.41542,0.78344,0.45958,0.33459,0.96579,1.66115,1.04557,0.000336086,0.000336086,0.000336086
73,494.061,0.79421,0.63711,0.96,0.40799,0.77181,0.45062,0.33153,0.9349,1.71786,1.02682,0.000315855,0.000315855,0.000315855
74,501.018,0.77539,0.62529,0.95228,0.39881,0.73324,0.43952,0.31495,0.97487,1.86563,1.04513,0.000296144,0.000296144,0.000296144
75,507.71,0.78007,0.6258,0.94852,0.38862,0.73373,0.44136,0.3241,0.96062,1.7609,1.03715,0.000276971,0.000276971,0.000276971
76,514.809,0.77757,0.61937,0.96763,0.43895,0.73921,0.47217,0.34556,0.95217,1.53299,1.0273,0.000258355,0.000258355,0.000258355
77,521.785,0.7894,0.62171,0.95229,0.42952,0.77623,0.4566,0.32927,0.95482,1.64469,1.03521,0.000240316,0.000240316,0.000240316
78,528.405,0.75892,0.60037,0.9539,0.46316,0.76093,0.49648,0.36262,0.94534,1.48841,1.02775,0.00022287,0.00022287,0.00022287
79,534.928,0.77417,0.6006,0.94785,0.42738,0.73018,0.46438,0.33872,0.94518,1.48462,1.0281,0.000206034,0.000206034,0.000206034
80,541.921,0.76424,0.60568,0.94928,0.426,0.78957,0.46154,0.33986,0.94762,1.57589,1.03456,0.000189827,0.000189827,0.000189827
81,548.557,0.7563,0.59757,0.94866,0.42694,0.76988,0.48497,0.35976,0.9514,1.64645,1.03878,0.000174262,0.000174262,0.000174262
82,555.836,0.75783,0.57905,0.95195,0.43353,0.68775,0.44805,0.33386,0.92376,1.65993,1.0255,0.000159357,0.000159357,0.000159357
83,562.751,0.76817,0.57689,0.95289,0.40603,0.7491,0.46164,0.33885,0.93299,1.64144,1.03365,0.000145125,0.000145125,0.000145125
84,569.754,0.74039,0.55838,0.93893,0.43288,0.73327,0.47082,0.34704,0.93538,1.68439,1.03635,0.000131581,0.000131581,0.000131581
